Status,Module,File Time Stamp,Link Time Stamp,File Size,Attr.,Link Checksum,Real Checksum,CPU,Subsystem,Symbols,Preferred Base,Actual Base,Virtual Size,Load Order,File Ver,Product Ver,Image Ver,Linker Ver,OS Ver,Subsystem Ver
D?,"DWMAPI.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D,"c:\windows\system32\BROWSEUI.DLL",2007-10-11 00:13:44,2007-10-11 01:13:44,1023488,A,0x00102FDD,0x00102FDD,x86,GUI,"CV",0x75F80000,Unknown,0x000FD000,Not Loaded,6.0.2900.3231,6.0.2900.3231,5.1,7.10,5.1,4.0
D,"c:\windows\system32\CABINET.DLL",2004-08-04 12:00:00,2004-08-04 02:56:00,59904,A,0x00019ACF,0x00019ACF,x86,GUI,"CV",0x75150000,Unknown,0x00014000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.0
D,"c:\windows\system32\CDFVIEW.DLL",2007-10-11 00:13:44,2007-10-11 01:13:44,151040,A,0x00031666,0x00031666,x86,GUI,"CV",0x6FAA0000,Unknown,0x00027000,Not Loaded,6.0.2900.3231,6.0.2900.3231,5.1,7.10,5.1,4.0
D,"c:\windows\system32\CERTCLI.DLL",2004-08-04 12:00:00,2004-08-04 02:56:08,194560,A,0x00032892,0x00032892,x86,Console,"CV",0x77B90000,Unknown,0x00032000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.10
D,"c:\windows\system32\CFGMGR32.DLL",2004-08-04 12:00:00,2004-08-04 02:56:13,16896,A,0x0000593F,0x0000593F,x86,GUI,"CV",0x74AE0000,Unknown,0x00007000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.0
D,"c:\windows\system32\CLUSAPI.DLL",2004-08-04 12:00:00,2004-08-04 02:56:20,57856,A,0x0001C6F8,0x0001C6F8,x86,Console,"CV",0x76D10000,Unknown,0x00011000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.0
D,"c:\windows\system32\COMCTL32.DLL",2006-08-25 09:45:58,2006-08-25 10:45:58,617472,A,0x0009ECCE,0x0009ECCE,x86,GUI,"CV",0x5D090000,Unknown,0x0009A000,Not Loaded,5.82.2900.2982,6.0.2900.2982,5.1,7.10,5.1,4.0
D,"c:\windows\system32\COMDLG32.DLL",2004-08-04 12:00:00,2004-08-04 02:56:32,276992,A,0x0004B1DF,0x0004B1DF,x86,GUI,"CV",0x763B0000,Unknown,0x00049000,Not Loaded,6.0.2900.2180,6.0.2900.2180,5.1,7.10,5.1,4.10
D,"c:\windows\system32\CREDUI.DLL",2004-08-04 12:00:00,2004-08-04 02:56:42,163840,A,0x0002962D,0x0002962D,x86,Console,"CV",0x76C00000,Unknown,0x0002E000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.10
D,"c:\windows\system32\CRYPT32.DLL",2004-08-04 12:00:00,2004-08-04 02:56:01,597504,A,0x00096491,0x00096491,x86,GUI,"CV",0x77A80000,Unknown,0x00094000,Not Loaded,5.131.2600.2180,5.131.2600.2180,5.1,7.10,5.1,4.0
D,"c:\windows\system32\CRYPTUI.DLL",2004-08-04 12:00:00,2004-08-04 02:56:06,512512,A,0x0008752B,0x0008752B,x86,GUI,"CV",0x754D0000,Unknown,0x00080000,Not Loaded,5.131.2600.2180,5.131.2600.2180,5.1,7.10,5.1,4.0
D,"c:\windows\system32\CSCDLL.DLL",2004-08-04 12:00:00,2004-08-04 02:56:07,101888,A,0x0001B3B4,0x0001B3B4,x86,Console,"CV",0x76600000,Unknown,0x0001D000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.10
